priority,product_id,product_name,food_id,legacy_category,legacy_grade,barcode,kids_flag,verification_status,label_photo,ingredients_verified,nutrition_facts_verified,allergens_verified,store_availability_checked,evidence_score_complete,review_notes,reviewer,reviewed_at
1,legacy_the_farmer_s_hen_eggs,The Farmer's Hen Eggs,hardboiled_eggs_cheese,proteins,A+,0856209005090,False,needs_review,,NO,NO,NO,NO,NO,,,
2,legacy_safe_catch_wild_elite_tuna,Safe Catch Wild Elite Tuna,tuna_cracker_box,proteins,A+,0859480006015,False,needs_review,,NO,NO,NO,NO,NO,,,
3,legacy_la_quercia_prosciutto_americano,La Quercia Prosciutto Americano,,proteins,A+,0824843119084,False,needs_review,,NO,NO,NO,NO,NO,,,
4,legacy_wild_alaskan_company_sockeye_salmon,Wild Alaskan Company Sockeye Salmon,,proteins,A+,0028029289664,False,needs_review,,NO,NO,NO,NO,NO,,,
5,legacy_amylu_organic_chicken_sausages,Amylu Organic Chicken Sausages,chicken_sausage_bites,proteins,A,0092227961127,False,needs_review,,NO,NO,NO,NO,NO,,,
6,legacy_bilinski_s_organic_chicken_sausage,Bilinski's Organic Chicken Sausage,chicken_sausage_bites,proteins,A,0071728071207,False,needs_review,,NO,NO,NO,NO,NO,,,
7,legacy_smart_chicken_boneless_breast,Smart Chicken Boneless Breast,,proteins,B+,0272859814613,False,needs_review,,NO,NO,NO,NO,NO,,,
8,legacy_applegate_organics_oven_roasted_chicken_breast,Applegate Organics Oven Roasted Chicken Breast,turkey_rollups,proteins,B+,0025317006675,False,needs_review,,NO,NO,NO,NO,NO,,,
9,legacy_applegate_natural_uncured_sunday_bacon,Applegate Natural Uncured Sunday Bacon,,proteins,B+,0025317315173,False,needs_review,,NO,NO,NO,NO,NO,,,
10,legacy_gilbert_s_caprese_chicken_sausage,Gilbert's Caprese Chicken Sausage,chicken_sausage_bites,proteins,B+,0859165002264,False,needs_review,,NO,NO,NO,NO,NO,,,
11,legacy_gilbert_s_sweet_pepper_onion_chicken_sausage,Gilbert's Sweet Pepper & Onion Chicken Sausage,chicken_sausage_bites,proteins,B+,0859165002431,False,needs_review,,NO,NO,NO,NO,NO,,,
12,legacy_gilbert_s_andouille_chicken_sausage,Gilbert's Andouille Chicken Sausage,chicken_sausage_bites,proteins,B+,0859165002486,False,needs_review,,NO,NO,NO,NO,NO,,,
13,legacy_gilbert_s_aloha_chicken_sausage,Gilbert's Aloha Chicken Sausage,chicken_sausage_bites,proteins,B+,0859165002363,False,needs_review,,NO,NO,NO,NO,NO,,,
14,legacy_gilbert_s_farmhouse_cheddar_chicken_sausage,Gilbert's Farmhouse Cheddar Chicken Sausage,chicken_sausage_bites,proteins,B,0859165002622,False,needs_review,,NO,NO,NO,NO,NO,,,
